id,date,user,pc,Total_Weight,Threat_Level,role,functional_unit,Hamming_Distance
{Q3H7-V9SQ47AZ-6758GNMW},2010-03-09 18:01:00,VIA0063,PC-2684,31.0,High,Manager,2 - ResearchAndEngineering,0
{Q3H7-V9SQ47AZ-6758GNMW},2010-03-09 18:01:00,VIA0063,PC-2684,31.0,High,Manager,2 - ResearchAndEngineering,0
{N1A3-A5VL96ML-4621UUEP},2010-02-08 18:59:00,ATP0662,PC-4127,31.0,High,Manager,2 - ResearchAndEngineering,0
{H2S9-F5TJ58GO-3276MDWL},2010-05-11 07:15:00,CMB0912,PC-6539,32.0,High,Manager,2 - ResearchAndEngineering,0
{F7A1-B8SP20VJ-7940DODP},2010-04-28 08:56:00,SBH0537,PC-2139,32.0,High,Manager,2 - ResearchAndEngineering,0
{R3I6-N7RG92ZR-5362WNPV},2010-05-18 19:00:00,JBM0350,PC-9744,31.0,High,Manager,2 - ResearchAndEngineering,0
{Q8M0-O7JB25TX-0685WWKJ},2010-03-26 07:55:00,VIA0063,PC-2684,32.0,High,Manager,2 - ResearchAndEngineering,0
{P8G2-C4VC12VT-0942QNNW},2010-05-10 18:55:00,JBM0350,PC-9744,31.0,High,Manager,2 - ResearchAndEngineering,0
{V4A8-T2DQ48UP-7220HPVP},2010-05-21 07:59:00,VIA0063,PC-2684,32.0,High,Manager,2 - ResearchAndEngineering,0
{X6E9-G6BL50ER-2847XJVG},2010-01-27 20:31:00,SGG0787,PC-3953,31.0,High,Manager,2 - ResearchAndEngineering,0
{Y9M8-W2EN12UM-7050KZNA},2010-05-12 08:04:00,VIA0063,PC-2684,32.0,High,Manager,2 - ResearchAndEngineering,0
{S4O7-W3RB85BW-1142CXZB},2010-01-14 18:10:00,VIA0063,PC-2684,31.0,High,Manager,2 - ResearchAndEngineering,0
{G4Q7-Y7BZ07SW-7017DMWO},2010-03-19 04:42:07,JBM0350,PC-9744,32.0,High,Manager,2 - ResearchAndEngineering,0
{Y4W3-L9PF44UK-2189XQDT},2010-02-17 08:51:00,ATP0662,PC-4127,32.0,High,Manager,2 - ResearchAndEngineering,0
{T4T6-N3KH94QZ-5014NFPM},2010-01-29 08:09:00,JBM0350,PC-9744,32.0,High,Manager,2 - ResearchAndEngineering,0
{G9Y4-A8DA25TW-2193ZJNF},2010-02-18 07:47:00,VIA0063,PC-2684,32.0,High,Manager,2 - ResearchAndEngineering,0
{Y9M8-W2EN12UM-7050KZNA},2010-05-12 08:04:00,VIA0063,PC-2684,32.0,High,Manager,2 - ResearchAndEngineering,0
{R2K6-N4HT64YF-3123FYJM},2010-06-09 07:54:00,JBM0350,PC-9744,32.0,High,Manager,2 - ResearchAndEngineering,0
{G9Y4-A8DA25TW-2193ZJNF},2010-02-18 07:47:00,VIA0063,PC-2684,32.0,High,Manager,2 - ResearchAndEngineering,0
{F7C8-A4SP36VK-2939CATW},2010-06-09 18:04:00,SBH0537,PC-2139,31.0,High,Manager,2 - ResearchAndEngineering,0
{F5V3-S6PS99FN-6897QIHV},2010-01-20 18:10:00,VIA0063,PC-2684,31.0,High,Manager,2 - ResearchAndEngineering,0
{V5H6-Z5ED84HX-7562HGPP},2010-01-04 07:56:00,JBM0350,PC-9744,32.0,High,Manager,2 - ResearchAndEngineering,0
{C3H6-W1UZ10ZP-2881PKAI},2010-06-10 19:13:00,JBM0350,PC-9744,31.0,High,Manager,2 - ResearchAndEngineering,0
{M9W6-H5YT14DM-7122VDWL},2010-02-12 18:56:00,ATP0662,PC-4127,31.0,High,Manager,2 - ResearchAndEngineering,0
{G4H0-T5GM47PO-3233DECR},2010-05-27 07:46:00,JBM0350,PC-9744,32.0,High,Manager,2 - ResearchAndEngineering,0
{B8W0-E1LX47TQ-5983OPSI},2010-06-22 07:05:33,JBM0350,PC-9744,31.0,High,Manager,2 - ResearchAndEngineering,0
{U9H2-Z2XE83RA-1951OVQN},2010-03-01 07:19:47,CMB0912,PC-1289,31.0,High,Manager,2 - ResearchAndEngineering,0
{A1L7-A9GH71TH-3234XOOE},2010-01-27 07:47:00,VIA0063,PC-2684,32.0,High,Manager,2 - ResearchAndEngineering,0
{F6E2-O7QP94MC-6322FOFR},2010-04-13 19:08:00,JBM0350,PC-9744,31.0,High,Manager,2 - ResearchAndEngineering,0
{Q6S1-C9VH14YB-7880QZNG},2010-03-23 20:34:00,SGG0787,PC-3953,31.0,High,Manager,2 - ResearchAndEngineering,0
{V9T8-A5BC28DE-9324JQWR},2010-06-25 07:50:00,JBM0350,PC-9744,32.0,High,Manager,2 - ResearchAndEngineering,0
{S2J1-T8UL56BU-1447CAND},2010-06-22 07:52:00,VIA0063,PC-2684,32.0,High,Manager,2 - ResearchAndEngineering,0
{Q3Z4-O4KW91BM-8223UTYS},2010-04-26 18:00:00,SBH0537,PC-2139,31.0,High,Manager,2 - ResearchAndEngineering,0
{L3C3-O4BW99BX-1325FEIV},2010-06-07 18:12:00,SBH0537,PC-2139,31.0,High,Manager,2 - ResearchAndEngineering,0
{U3W0-W0CZ84PS-9319ENUW},2010-06-03 08:21:00,SGG0787,PC-3953,32.0,High,Manager,2 - ResearchAndEngineering,0
{P8X8-P8JA54CW-5219IMSZ},2010-03-02 19:04:00,JBM0350,PC-9744,31.0,High,Manager,2 - ResearchAndEngineering,0
{H9B9-D4MK65FW-9632GSXI},2010-03-16 18:04:00,SBH0537,PC-2139,31.0,High,Manager,2 - ResearchAndEngineering,0
{O5X9-P6IF90CV-3127UDMS},2010-01-16 07:08:55,ATP0662,PC-4127,32.0,High,Manager,2 - ResearchAndEngineering,0
{P8G2-C4VC12VT-0942QNNW},2010-05-10 18:55:00,JBM0350,PC-9744,31.0,High,Manager,2 - ResearchAndEngineering,0
{C9I1-F5EI18XD-6031GABH},2010-06-11 08:02:00,JBM0350,PC-9744,32.0,High,Manager,2 - ResearchAndEngineering,0
{F7C8-A4SP36VK-2939CATW},2010-06-09 18:04:00,SBH0537,PC-2139,31.0,High,Manager,2 - ResearchAndEngineering,0
{V9T8-A5BC28DE-9324JQWR},2010-06-25 07:50:00,JBM0350,PC-9744,32.0,High,Manager,2 - ResearchAndEngineering,0
{Q9N1-P5MN78BP-4858ILTU},2010-04-12 07:37:00,CCW0031,PC-6286,27.0,Medium,Manager,1 - Adminstration,6
{M4V8-I3IM38PK-0799EZFO},2010-02-11 07:43:00,CCW0031,PC-6286,27.0,Medium,Manager,1 - Adminstration,6
{P6U6-O2SC81YG-0692DVBY},2010-02-03 17:41:00,HDD0789,PC-4518,21.0,Medium,Manager,5 - SalesAndMarketing,6
{A0O6-P7EL76BU-9915UPDG},2010-01-27 17:06:39,LCB0664,PC-4124,21.0,Medium,Manager,5 - SalesAndMarketing,6
{E4H4-F8LH50QZ-0579OMIK},2010-01-25 17:28:00,BJH0354,PC-1332,21.0,Medium,Manager,5 - SalesAndMarketing,6
